run,number_of_reads
Tte_02_L3_OBIWAN_309_R2,36937769
Tte_02_L3_OBIWAN_309_se,5884004
Tte_02_L5_OBIWAN_314_R1,39632494
Tte_02_L5_OBIWAN_314_R2,39632494
Tte_02_L5_OBIWAN_314_se,7707789
Tte_03_L1_OBIWAN_314_R1,49963705
Tte_03_L1_OBIWAN_314_R2,49963705
Tte_03_L1_OBIWAN_314_se,9113677
Tte_03_L3_OBIWAN_309_R1,46121363
Tte_03_L3_OBIWAN_309_R2,46121363
Tte_03_L3_OBIWAN_309_se,7002799
Tte_03_L5_OBIWAN_314_R1,50218145
Tte_03_L5_OBIWAN_314_R2,50218145
Tte_03_L5_OBIWAN_314_se,9307675
Tte_04_L1_OBIWAN_314_R1,42052438
Tte_04_L1_OBIWAN_314_R2,42052438
Tte_04_L1_OBIWAN_314_se,8701611
Tte_04_L3_OBIWAN_309_R1,39717882
Tte_04_L3_OBIWAN_309_R2,39717882
Tte_04_L3_OBIWAN_309_se,6751427
Tte_04_L5_OBIWAN_314_R1,41932963
Tte_04_L5_OBIWAN_314_R2,41932963
Tte_04_L5_OBIWAN_314_se,9023107
Tte_05_L1_OBIWAN_314_R1,44656319
Tte_05_L1_OBIWAN_314_R2,44656319
Tte_05_L1_OBIWAN_314_se,7731490
Tte_05_L3_OBIWAN_309_R1,41531397
Tte_05_L3_OBIWAN_309_R2,41531397
Tte_05_L3_OBIWAN_309_se,6110762
Tte_05_L5_OBIWAN_314_R1,45028559
Tte_05_L5_OBIWAN_314_R2,45028559
Tte_05_L5_OBIWAN_314_se,7957389
